,zipcode,address,price,size
313,91024,"1115 E Grandview Ave, Sierra Madre, CA 91024",1190000,2293
314,91024,"126 W Grandview Ave, Sierra Madre, CA 91024",979900,1666
315,91024,"62 Windsor Ln, Sierra Madre, CA 91024",898000,2054
316,91024,"322 E Montecito Ave, Sierra Madre, CA 91024",1295000,2304
319,91024,"127 E Highland Ave, Sierra Madre, CA 91024",975000,1212
320,91024,"468 W Montecito Ave, Sierra Madre, CA 91024",928000,1488
321,91024,"729 Orange Dr, Sierra Madre, CA 91024",958000,1781
322,91024,"405 Fairview Ter, Sierra Madre, CA 91024",1350000,2018
323,91024,"477 N Baldwin Ave, Sierra Madre, CA 91024",1599000,3783
324,91024,"678 Alta Vista Dr, Sierra Madre, CA 91024",1150000,2181
325,91024,"70 E Highland Ave, Sierra Madre, CA 91024",1158000,1456
326,91024,"401 Crestvale Dr, Sierra Madre, CA 91024",948000,1437
327,91024,"91 E Orange Grove Ave, Sierra Madre, CA 91024",1980000,2640
328,91024,"400 Foothill Ave, Sierra Madre, CA 91024",1298000,2033
332,91024,"675 Sierra Meadows Dr, Sierra Madre, CA 91024",1450000,3291
333,91024,"699 Gatewood Ln, Sierra Madre, CA 91024",1398000,2677
334,91024,"181 E Alegria Ave, Sierra Madre, CA 91024",1660000,3500
335,91030,"191 Monterey Rd # C, South Pasadena, CA",976360,1268
336,91030,"191 Monterey Rd # G, South Pasadena, CA",1396360,1868
338,91030,"626 Brent Ave, South Pasadena, CA 91030",2395000,3584
339,91030,"1841 Hanscom Dr, South Pasadena, CA 91030",449000,512
340,91030,"1936 Hanscom Dr, South Pasadena, CA",4488000,3487
341,91030,"1136 Diamond Ave, South Pasadena, CA 91030",1600000,2432
342,91030,"1628 Wayne Ave, South Pasadena, CA 91030",1887000,2171
343,91030,"521 Mission St, South Pasadena, CA 91030",1299000,1704
344,91030,"2051 Stratford Ave, South Pasadena, CA 91030",1298000,1428
345,91030,"0 Peterson Ave, South Pasadena, CA 91030",399000,7405
346,91030,"Peterson Ave, South Pasadena, CA 91030",399000,8755
