,dr_no,area,date_occ,time_occ,location,lat,lon,crm_cd,zipcode
126,190223001,2,2019-12-09T00:00:00.000,1600,2600 W  8TH                          ST,34.0573,-118.2831,626,90057
127,190326030,3,2019-12-08T00:00:00.000,1525,JEFFERSON                    BL,34.0255,-118.2937,625,90007
128,191920298,19,2019-12-08T00:00:00.000,1200,9600    ORION                        AV,34.2446,-118.4718,624,91343
129,190623463,6,2019-12-08T00:00:00.000,2200,800 N  HOBART                       BL,34.0846,-118.3051,330,90029
130,190720548,7,2019-12-08T00:00:00.000,2230,1300 S  COCHRAN                      AV,34.0509,-118.3516,330,90019
131,191824518,18,2019-12-08T00:00:00.000,700,1400 E  IMPERIAL,33.9323,-118.2502,510,90059
132,190920962,9,2019-12-08T00:00:00.000,40,15600    VANOWEN                      ST,34.1939,-118.4729,624,91406
133,190623454,6,2019-12-08T00:00:00.000,1830,HOLLYWOOD                    BL,34.1016,-118.3387,624,90028
134,192021114,20,2019-12-08T00:00:00.000,330,1900    CIMARRON                     ST,34.0399,-118.3155,626,90018
135,190819363,8,2019-12-08T00:00:00.000,1730,SAWTELLE,34.0445,-118.4491,330,90025
136,190623448,6,2019-12-08T00:00:00.000,1950,5300    LOMA LINDA                   AV,34.103,-118.305,740,90027
137,191120627,11,2019-12-08T00:00:00.000,405,5100    YORK                         BL,34.1211,-118.2048,740,90042
138,191824527,18,2019-12-08T00:00:00.000,1750,400 E  115TH                        ST,33.9301,-118.2664,624,90061
139,190417725,4,2019-12-08T00:00:00.000,300,CINCINNATI                   ST,34.046,-118.2035,740,90033
140,192021110,20,2019-12-08T00:00:00.000,530,2000 S  HARVARD                      BL,34.0389,-118.305,434,90018
141,191323523,13,2019-12-08T00:00:00.000,1900,WALL                         ST,33.9824,-118.2718,510,90003
142,190819323,8,2019-12-08T00:00:00.000,1550,1100 S  CORNING                      ST,34.0572,-118.3773,624,90035
143,192119559,21,2019-12-08T00:00:00.000,1100,7000    MILWOOD                      AV,34.1974,-118.5943,230,91303
144,191617374,16,2019-12-08T00:00:00.000,2230,11900    KATHYANN                     ST,34.2849,-118.3918,220,91342
145,190623476,6,2019-12-08T00:00:00.000,120,WILCOX,34.1016,-118.3311,624,90028
146,190128794,1,2019-12-08T00:00:00.000,1340,7TH                          ST,34.0346,-118.2306,220,90021
147,191228418,12,2019-12-08T00:00:00.000,30,800 W  70TH                         ST,33.9764,-118.2871,510,90044
148,190326053,3,2019-12-08T00:00:00.000,630,4100    PALMWOOD                     DR,34.0137,-118.3435,745,90008
149,190519115,5,2019-12-08T00:00:00.000,1735,1000 W  C                            ST,33.7721,-118.2736,210,90744
150,191521639,15,2019-12-08T00:00:00.000,1600,12100    MAGNOLIA                     BL,34.1649,-118.3965,341,91607
151,190417749,4,2019-12-08T00:00:00.000,40,3000    GLENN                        AV,34.0228,-118.2133,230,90023
152,191824519,18,2019-12-08T00:00:00.000,1430,200 W  115TH                        ST,33.9301,-118.2761,624,90061
153,191120571,11,2019-12-08T00:00:00.000,1445,2200    DORRIS                       PL,34.091,-118.2376,930,90031
154,191323504,13,2019-12-08T00:00:00.000,10,1500 E  41ST                         ST,34.0086,-118.2474,900,90011
155,191824575,18,2019-12-08T00:00:00.000,1830,88TH,33.9574,-118.2827,210,90003
156,191018726,10,2019-12-08T00:00:00.000,1750,7600    RESEDA                       BL,34.2148,-118.5404,624,91335
157,192021117,20,2019-12-08T00:00:00.000,2150,400 N  SERRANO                      AV,34.0776,-118.3069,740,90004
158,192119584,21,2019-12-08T00:00:00.000,1810,21000    SHERMAN                      WY,34.2047,-118.5879,440,91306
159,190128813,1,2019-12-08T00:00:00.000,1800,3RD,34.0461,-118.2395,330,90012
160,190819352,8,2019-12-08T00:00:00.000,1800,3000    RUSTIC CANYON                RD,34.0755,-118.5163,341,90049
161,190128800,1,2019-12-08T00:00:00.000,1200,500    WALL                         ST,34.0449,-118.2458,236,90013
